shippingCode,paymentCode,sku
myQLED,CC,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]"
myQLED,BT,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]"
gw,COD,"[{quantity:1,sku_id:HW-NW700/EN},{quantity:1,sku_id:LC27FG73FQUXEN}]"
gw,BT,"[{quantity:1,sku_id:HW-NW700/EN},{quantity:1,sku_id:LC27FG73FQUXEN}]"
gw,CC,"[{quantity:1,sku_id:HW-NW700/EN},{quantity:1,sku_id:LC27FG73FQUXEN}]"
post,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]"
post,CC,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]"
post,CCIN,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]"
post,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]"
messenger,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]"
myHome,CC,"[{quantity:1,sku_id:RS68N8671S9/EF}]"
messenger,CC,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]"
myHome,BT,"[{quantity:1,sku_id:RS68N8671S9/EF}]"
messenger,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]"
messenger,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
messenger,CC,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
messenger,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
myQLEDmyHome,CC,"[{quantity:1,sku_id:RS68N8671S9/EF}]"
myQLEDmyHome,BT,"[{quantity:1,sku_id:RS68N8671S9/EF}]"
gw,COD,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]"
gw,BT,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]"
gw,CC,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]"
gw,COD,"[{quantity:1,sku_id:EF-ZG975CWEGWW}]"
gw,BT,"[{quantity:1,sku_id:EF-ZG975CWEGWW}]"
gw,CC,"[{quantity:1,sku_id:EF-ZG975CWEGWW}]"
myQLED,CC,"[{quantity:1,sku_id:RS68N8671S9/EF}]"
myQLED,BT,"[{quantity:1,sku_id:RS68N8671S9/EF}]"
post,BT,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
post,CC,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
post,CCIN,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
post,COD,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]"
myHome,CC,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]"
myHome,BT,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]"
